#recno,[CPA2006],GLON,GLAT,Rin_1,rin_1a,Rout_1,rout_1a,Ecc,<R>,<T>,MFlags,Catalogue ID,Churchwell ID,l,b,Effective Radius (arcmin),Thickness (arcmin),Eccentricity,Position Angle (deg),Hit Rate,Dispersion (arcmin),Hierarchy Flag
2,N2,10.747,-0.468,6.96,5.76,8.31,6.89,0.56,6.95,1.23,B,MWP1G010748-004703,N2,10.748,-0.47,6.14,3.85,0.44,40,0.33,0.054,1
3,N3,11.57,0.395,0.99,0.48,1.45,0.7,0.87,0.85,0.32,C,MWP1G011572+003977,N3,11.572,0.398,0.83,0.96,0.47,75,0.4,0.0040,
4,N4,11.892,0.748,1.95,1.65,2.42,2.05,0.53,2.01,0.44,C,MWP1G011895+007508,N4,11.895,0.751,2.21,2.25,0.34,7,0.15,0.0060,
6,N6,12.512,-0.609,5.94,4.58,7.33,5.65,0.64,5.83,1.22,B,MWP1G012511-005904,N6,12.511,-0.59,3.91,3.07,0.5,39,0.27,0.046,
7,N7,12.787,-0.167,0.47,0.37,0.57,0.46,0.6,0.46,0.09,C,MWP1G012765-001320,N7,12.765,-0.132,2.89,2.06,0.34,38,0.27,0.028,1
8,N8,12.805,-0.312,0.17,0.17,0.26,0.26,0.0,0.21,0.08,C,MWP1G012805-003119,N8,12.805,-0.312,0.28,0.22,0.0,0,0.21,0.0010,
9,N9,12.89,-0.046,0.59,0.42,0.75,0.53,0.71,0.56,0.13,B,MWP1G012888-000434,N9,12.888,-0.043,0.49,0.64,0.46,12,0.19,0.0030,
10,N10,13.188,0.039,1.41,0.84,1.75,1.04,0.8,1.22,0.26,"C,CC,BP",MWP1G013189+000428,N10,13.189,0.043,1.52,1.19,0.21,22,0.46,0.0060,
11,N11,13.218,0.082,1.35,0.97,1.77,1.27,0.7,1.32,0.35,"C,BP",MWP1G013222+000832,N11,13.222,0.083,1.29,1.1,0.57,25,0.37,0.0070,
12,N12,13.727,-0.015,4.48,3.88,5.44,4.71,0.5,4.61,0.89,C,MWP1G013733-000160,N12,13.733,-0.016,4.0,2.79,0.23,19,0.54,0.013,
13,N13,13.9,-0.014,0.57,0.33,0.73,0.42,0.81,0.49,0.12,B,MWP1G013899-000113,N13,13.899,-0.011,0.5,0.56,0.58,8,0.3,0.0030,
14,N14,14.002,-0.135,1.3,0.82,1.77,1.12,0.77,1.22,0.38,"C,CC",MWP1G013992-001288,N14,13.992,-0.129,1.67,1.59,0.17,38,0.46,0.0090,1
15,N15,15.01,-0.611,1.57,1.03,2.13,1.4,0.75,1.5,0.46,C,MWP1G015010-006019,N15,15.01,-0.602,1.28,1.34,0.17,19,0.23,0.0030,
17,N17,15.019,0.067,0.42,0.31,0.59,0.43,0.68,0.43,0.14,"B,m(N16)",MWP1G015018+000667,N17,15.018,0.067,0.39,0.61,0.07,0,0.13,0.0010,2
18,N18,16.679,-0.366,6.61,6.2,8.36,7.84,0.35,7.25,1.7,C,MWP1G016638-003549,N18,16.638,-0.355,4.7,3.26,0.12,51,0.39,0.025,
19,N19,17.077,0.946,3.91,3.56,5.42,4.94,0.41,4.45,1.44,C,MWP1G017099+008791,N19,17.099,0.879,5.08,3.06,0.21,28,0.18,0.114,1
20,N20,17.917,-0.687,1.13,0.85,1.45,1.08,0.66,1.12,0.27,C,MWP1G017921-006843,N20,17.921,-0.684,1.22,1.04,0.18,23,0.54,0.0070,
21,N21,18.19,-0.396,2.3,1.59,2.89,2.0,0.72,2.16,0.5,B,MWP1G018193-004002,N21,18.193,-0.4,2.25,2.0,0.41,19,0.54,0.0080,1
22,N22,18.254,-0.305,1.71,1.27,2.21,1.64,0.67,1.69,0.43,C,MWP1G018261-002967,N22,18.261,-0.297,2.09,1.88,0.23,18,0.67,0.0070,1
23,N23,18.679,-0.237,0.39,0.36,0.54,0.5,0.39,0.45,0.14,B,MWP1G018679-002347,N23,18.679,-0.235,0.53,0.53,0.52,8,0.27,0.0030,2
