"Catalogue ID","Churchwell ID","l","b","Effective Radius (arcmin)","Thickness (arcmin)","Eccentricity","Position Angle (deg)","Hit Rate","Dispersion (arcmin)","Hierarchy Flag"
MWP1G018261-002967,N22,018.261,-0.297,2.09,1.88,0.23,18,0.67,0.007,1
MWP1G312675+000465,S128,312.675,+0.046,1.49,1.27,0.41,4,0.64,0.004,
MWP1G310982+004071,S137,310.982,+0.407,3.01,3.17,0.29,43,0.62,0.011,1 2
MWP1G307391-007207,,307.391,-0.721,1.63,1.29,0.29,69,0.61,0.007,
MWP1G343918-006487,S15,343.918,-0.649,2.09,2.37,0.26,15,0.60,0.007,
MWP1G316519-005993,S114,316.519,-0.599,1.44,1.67,0.29,36,0.60,0.006,
MWP1G049699-001620,N102 N103,049.699,-0.162,1.96,1.73,0.10,26,0.60,0.007,
MWP1G338712+006434,,338.712,+0.643,1.93,1.93,0.10,50,0.59,0.006,2
MWP1G354981-005283,CS39,354.981,-0.528,1.25,1.44,0.31,22,0.59,0.006,2
MWP1G320159+007984,S96,320.159,+0.798,1.38,1.51,0.12,23,0.58,0.009,
MWP1G063163+004407,N133,063.163,+0.441,2.54,2.88,0.32,22,0.58,0.011,
MWP1G323536-003512,S86,323.536,-0.351,1.24,1.57,0.28,15,0.57,0.005,2
MWP1G337683-003402,S37,337.683,-0.340,1.62,1.65,0.33,43,0.57,0.009,1
MWP1G354588+000038,CS47,354.588,+0.004,1.24,1.17,0.07,5,0.56,0.005,
MWP1G045387-007155,N95,045.387,-0.715,1.66,1.25,0.11,27,0.56,0.009,
MWP1G317463-003466,S106,317.463,-0.347,1.69,1.56,0.09,10,0.56,0.004,
MWP1G028006+003153,,028.006,+0.315,1.83,1.66,0.10,19,0.55,0.004,
MWP1G040421-000493,N77,040.421,-0.049,1.27,1.18,0.07,13,0.54,0.007,
MWP1G339130-003706,,339.130,-0.371,3.03,2.31,0.09,23,0.54,0.017,1
MWP1G327988-000931,S71,327.988,-0.093,1.56,1.29,0.54,16,0.54,0.009,2
MWP1G340601+003413,,340.601,+0.341,0.47,0.44,0.37,33,0.54,0.002,2
MWP1G013733-000160,N12,013.733,-0.016,4.00,2.79,0.23,19,0.54,0.013,
MWP1G354612+004841,CS46,354.612,+0.484,1.33,1.38,0.11,23,0.54,0.005,
MWP1G044332-008343,N92,044.332,-0.834,1.82,1.65,0.55,77,0.54,0.009,1
MWP1G064010+007285,,064.010,+0.729,0.93,0.94,0.24,10,0.54,0.003,
MWP1G057544-002820,N123,057.544,-0.282,1.28,1.21,0.24,37,0.54,0.009,
MWP1G340299-001980,S26,340.299,-0.198,1.50,1.59,0.31,38,0.54,0.019,1
MWP1G345484+004011,S11,345.484,+0.401,2.15,2.05,0.24,18,0.54,0.011,1
MWP1G043775+000606,N90,043.775,+0.061,1.55,1.37,0.26,9,0.54,0.005,
MWP1G017921-006843,N20,017.921,-0.684,1.22,1.04,0.18,23,0.54,0.007,
MWP1G018193-004002,N21,018.193,-0.400,2.25,2.00,0.41,19,0.54,0.008,1
MWP1G311483+003982,S133 S134 S135 S132,311.483,+0.398,1.87,1.52,0.48,19,0.53,0.008,1
MWP1G054106-000635,N116 N117,054.106,-0.064,2.33,2.48,0.28,33,0.53,0.012,1
MWP1G044777-005495,N93,044.777,-0.549,0.74,0.79,0.33,15,0.53,0.003,2
MWP1G312975-004354,S123,312.975,-0.435,2.14,1.83,0.20,24,0.53,0.009,
MWP1G354683+004723,CS44,354.683,+0.472,1.47,1.56,0.13,20,0.53,0.007,
MWP1G350585-000744,CS101,350.585,-0.074,1.94,1.26,0.32,22,0.53,0.007,
MWP1G354182-000528,CS51,354.182,-0.053,2.34,1.80,0.41,11,0.52,0.009,
MWP1G311893+000861,,311.893,+0.086,2.13,1.85,0.18,22,0.52,0.008,1
MWP1G038907-004386,N74,038.907,-0.439,1.45,1.54,0.45,49,0.52,0.003,
MWP1G052605+003708,,052.605,+0.371,0.44,0.71,0.26,24,0.52,0.001,2
MWP1G359737-004097,CS2,359.737,-0.410,1.69,1.28,0.26,14,0.52,0.008,1
MWP1G299701+000151,S174,299.701,+0.015,2.63,1.75,0.21,20,0.52,0.012,
MWP1G054480+009282,,054.480,+0.928,2.65,3.96,0.22,19,0.52,0.010,
MWP1G023089+005617,N29 N30,023.089,+0.562,2.06,1.89,0.23,30,0.52,0.030,
MWP1G341283-003407,S23,341.283,-0.341,2.02,1.81,0.14,29,0.52,0.019,
MWP1G331330-003571,S62,331.330,-0.357,1.78,1.82,0.38,27,0.52,0.016,
MWP1G330676-003859,S67,330.676,-0.386,1.22,1.22,0.61,4,0.52,0.009,2
MWP1G329275+001097,S70,329.275,+0.110,1.22,1.22,0.31,9,0.52,0.005,
MWP1G332975+007756,,332.975,+0.776,1.84,1.75,0.29,20,0.52,0.019,
MWP1G050078+005703,N105,050.078,+0.570,0.88,1.11,0.07,8,0.51,0.002,
MWP1G309550-007199,S141,309.550,-0.720,1.48,1.58,0.23,14,0.51,0.007,
MWP1G313809+001340,S120,313.809,+0.134,1.76,1.27,0.22,14,0.51,0.006,
MWP1G001113-002654,,001.113,-0.265,2.73,1.54,0.29,23,0.51,0.012,1
MWP1G344104-006669,,344.104,-0.667,1.48,1.61,0.28,22,0.51,0.006,
MWP1G339980-005491,,339.980,-0.549,0.97,0.84,0.30,12,0.51,0.004,
MWP1G020322+000746,,020.322,+0.075,0.42,0.38,0.04,3,0.51,0.002,
MWP1G035001+003318,N65,035.001,+0.332,2.02,1.59,0.35,8,0.51,0.008,1
MWP1G354465+000747,CS48,354.465,+0.075,1.50,1.51,0.36,8,0.50,0.006,
MWP1G042104-006230,N82,042.104,-0.623,1.77,2.02,0.21,10,0.50,0.006,2
MWP1G331011-001485,S64,331.011,-0.148,2.72,2.47,0.23,19,0.50,0.011,1
MWP1G347989+000549,,347.989,+0.055,2.37,1.90,0.26,14,0.50,0.008,
MWP1G053551-000082,N115,053.551,-0.008,2.92,3.10,0.28,49,0.50,0.015,1
MWP1G317862+001517,,317.862,+0.152,1.57,1.45,0.27,21,0.50,0.013,
MWP1G340734-006147,,340.734,-0.615,1.47,1.37,0.17,30,0.50,0.008,
MWP1G321395-003135,S89,321.395,-0.314,1.16,1.27,0.06,26,0.49,0.004,
MWP1G305384-002439,S152,305.384,-0.244,1.32,1.18,0.34,20,0.49,0.003,
MWP1G044811-004866,N94,044.811,-0.487,2.93,2.51,0.64,25,0.49,0.013,1
MWP1G030961+005940,,030.961,+0.594,1.25,1.17,0.41,22,0.49,0.007,
MWP1G338460-002173,,338.460,-0.217,0.42,0.47,0.14,39,0.49,0.002,
MWP1G042834-001579,N84,042.834,-0.158,1.18,1.14,0.25,17,0.49,0.005,
MWP1G047180+003195,,047.180,+0.319,1.75,1.39,0.39,15,0.49,0.007,
MWP1G024136+004363,,024.136,+0.436,2.29,1.67,0.40,16,0.49,0.006,1
MWP1G327699+005702,S72,327.699,+0.570,1.49,1.20,0.50,48,0.49,0.011,
MWP1G301626-003323,S167,301.626,-0.332,5.34,4.06,0.20,22,0.48,0.028,1
MWP1G326725+007745,,326.725,+0.775,1.50,1.63,0.27,69,0.48,0.004,
MWP1G314409-007115,,314.409,-0.711,0.82,0.77,0.34,21,0.48,0.002,
MWP1G331374+005224,S57 S60,331.374,+0.522,4.28,3.37,0.20,50,0.48,0.027,1
MWP1G353280-004780,CS58,353.280,-0.478,1.00,1.04,0.35,32,0.48,0.003,
MWP1G024425+003359,,024.425,+0.336,0.50,0.55,0.15,7,0.48,0.001,
MWP1G031473-003459,,031.473,-0.346,0.89,0.93,0.38,47,0.48,0.006,
MWP1G034334+002126,N62,034.334,+0.213,1.57,1.14,0.05,14,0.48,0.005,
MWP1G332317-005665,S54,332.317,-0.567,0.89,0.93,0.18,17,0.48,0.004,
MWP1G026822+003828,N44,026.822,+0.383,1.16,0.99,0.34,48,0.48,0.003,
MWP1G332413+000521,S52 S53,332.413,+0.052,2.71,2.65,0.13,12,0.48,0.009,1
MWP1G041519+000375,N79,041.519,+0.037,1.53,1.20,0.41,19,0.48,0.011,
MWP1G323803+000231,S85,323.803,+0.023,1.57,1.36,0.04,37,0.48,0.009,
MWP1G351170+004718,CS90,351.170,+0.472,3.74,3.06,0.41,19,0.48,0.029,1
MWP1G314216+003417,S117,314.216,+0.342,1.15,1.31,0.49,86,0.47,0.004,
MWP1G038928-003861,N75,038.928,-0.386,0.79,0.78,0.40,25,0.47,0.002,
MWP1G041237+003647,,041.237,+0.365,2.06,1.73,0.23,31,0.47,0.014,
MWP1G337305+003333,,337.305,+0.333,0.78,0.68,0.12,10,0.47,0.002,
MWP1G358324-007417,CS16,358.324,-0.742,2.26,1.67,0.23,25,0.47,0.011,
MWP1G326787-005511,S78,326.787,-0.551,1.99,1.81,0.25,18,0.47,0.013,1
MWP1G352652-003627,CS67 CS68,352.652,-0.363,1.01,0.84,0.39,89,0.47,0.010,
MWP1G328193-004780,,328.193,-0.478,1.23,1.19,0.31,39,0.47,0.005,
MWP1G329119-008454,,329.119,-0.845,0.47,0.65,0.19,24,0.47,0.002,
MWP1G015014+000570,N16 N17,015.014,+0.057,2.34,2.17,0.34,29,0.47,0.010,1
MWP1G351768+001015,CS77,351.768,+0.102,0.72,0.68,0.50,28,0.47,0.004,
MWP1G302634-006686,,302.634,-0.669,1.08,1.13,0.21,41,0.46,0.005,2
MWP1G018980+000304,,018.980,+0.030,3.44,2.91,0.34,35,0.46,0.027,
MWP1G025291+002939,N37,025.291,+0.294,1.83,1.32,0.60,13,0.46,0.007,2
MWP1G317989-007519,S104,317.989,-0.752,1.58,1.70,0.40,13,0.46,0.010,1 2
MWP1G315980-001816,S115,315.980,-0.182,0.87,0.73,0.20,13,0.46,0.003,
MWP1G013189+000428,N10,013.189,+0.043,1.52,1.19,0.21,22,0.46,0.006,
MWP1G353353-001413,CS57,353.353,-0.141,1.60,1.63,0.03,15,0.46,0.009,
MWP1G313670-001046,,313.670,-0.105,1.39,1.18,0.32,49,0.46,0.007,
MWP1G328348+008987,,328.348,+0.899,1.63,1.46,0.06,15,0.46,0.006,
MWP1G348260+004774,S7,348.260,+0.477,4.52,2.88,0.20,25,0.46,0.021,1
MWP1G336923-001922,,336.923,-0.192,1.88,1.82,0.25,48,0.46,0.009,
MWP1G059837+000112,,059.837,+0.011,1.25,1.31,0.18,23,0.46,0.005,
MWP1G013992-001288,N14,013.992,-0.129,1.67,1.59,0.17,38,0.46,0.009,1
MWP1G015877+005533,,015.877,+0.553,1.16,1.31,0.56,69,0.46,0.005,
MWP1G359291-002544,CS4,359.291,-0.254,1.60,1.59,0.29,30,0.46,0.008,
MWP1G354008+006116,CS52,354.008,+0.612,1.28,1.16,0.58,24,0.46,0.009,
MWP1G027688+000778,,027.688,+0.078,1.17,1.10,0.23,12,0.46,0.005,
MWP1G337511-005455,S38,337.511,-0.546,1.55,1.51,0.45,68,0.46,0.011,
MWP1G008867-003251,CN123,008.867,-0.325,1.35,1.36,0.33,34,0.46,0.006,
MWP1G312704+000140,S126,312.704,+0.014,1.23,1.17,0.43,44,0.46,0.006,
MWP1G312760+000734,S125,312.760,+0.073,0.81,0.94,0.43,41,0.46,0.005,
MWP1G342073+004320,S18,342.073,+0.432,1.41,1.45,0.19,12,0.46,0.009,1
MWP1G339477+001818,,339.477,+0.182,0.67,0.51,0.12,17,0.45,0.002,
MWP1G328308+004465,,328.308,+0.447,1.82,1.56,0.35,31,0.45,0.017,1
MWP1G306321-003550,,306.321,-0.355,1.35,1.17,0.30,15,0.45,0.007,
MWP1G028828-002282,N49,028.828,-0.228,1.43,1.33,0.03,30,0.45,0.005,
MWP1G032985-003351,,032.985,-0.335,1.77,1.50,0.01,29,0.45,0.006,
MWP1G357914-003315,,357.914,-0.331,0.40,0.41,0.37,16,0.45,0.001,
MWP1G332071+005004,S56,332.071,+0.500,0.97,1.20,0.10,9,0.45,0.004,
MWP1G340907+001700,,340.907,+0.170,1.34,1.26,0.02,31,0.45,0.005,
MWP1G056410+004257,,056.410,+0.426,1.24,1.41,0.07,24,0.45,0.004,
MWP1G335163-002431,S42,335.163,-0.243,1.16,1.09,0.45,21,0.45,0.004,
