"Catalogue ID","Churchwell ID","l","b","Mean Radius (arcmin)","Hit Rate","Hierarchy Flag"
MWP1G331470-001400S,,331.47,-0.14,0.37,0.54,
MWP1G018180001100S,,018.18,+0.11,0.34,0.50,
MWP1G017690-000900S,,017.69,-0.09,0.42,0.49,
MWP1G336010-003700S,,336.01,-0.37,0.37,0.45,
MWP1G012200-001600S,,012.20,-0.16,0.38,0.42,
MWP1G013780004900S,,013.78,+0.49,0.42,0.42,2
MWP1G024920000800S,,024.92,+0.08,0.47,0.42,
MWP1G338870000200S,,338.87,+0.02,0.45,0.42,
MWP1G011020-003700S,,011.02,-0.37,0.41,0.41,
MWP1G345510001600S,,345.51,+0.16,0.40,0.41,2
MWP1G039430-001900S,,039.43,-0.19,0.41,0.40,
MWP1G339770000100S,,339.77,+0.01,0.43,0.40,2
MWP1G346040000500S,,346.04,+0.05,0.34,0.40,
MWP1G331400-001800S,,331.40,-0.18,0.44,0.39,2
MWP1G004060-000100S,,004.06,-0.01,0.38,0.38,
MWP1G008910001700S,,008.91,+0.17,0.38,0.38,2
MWP1G012810-003100S,,012.81,-0.31,0.44,0.38,2
MWP1G052980-006200S,,052.98,-0.62,0.43,0.38,2
MWP1G339780000200S,,339.78,+0.02,0.34,0.38,2
MWP1G343290001600S,,343.29,+0.16,0.37,0.38,2
MWP1G357970-001700S,,357.97,-0.17,0.37,0.38,2
MWP1G010990-003700S,,010.99,-0.37,0.45,0.37,
MWP1G018850-004800S,N24,018.85,-0.48,0.41,0.37,2
MWP1G049570-002700S,,049.57,-0.27,0.44,0.37,2
MWP1G301760002600S,,301.76,+0.26,0.41,0.37,
MWP1G331140001100S,,331.14,+0.11,0.34,0.37,
MWP1G334350-006600S,,334.35,-0.66,0.34,0.37,
MWP1G352760-003500S,,352.76,-0.35,0.39,0.37,
MWP1G307500-008200S,,307.50,-0.82,0.49,0.36,2
MWP1G332670-003300S,,332.67,-0.33,0.38,0.36,
